,Name,Link,Livability,Amenities,Cost of Living,Crime,Employment,Housing,Schools,Weather,Population,Median home value,Cost_of_Living_Info,Crime_Info,Employment_Info,Housing_Info,Schools_Info
97,Terre Haute,https://www.areavibes.com/terre+haute-in/livability/,66,A+,B+,F,F,F,B,D+," 61,021"," $76,000",Cost of living is 4% lower than Indiana,Total crime is 55% higher than Indiana,Household income is 34% lower than Indiana,Home value is 40% lower than Indiana,HS graduation rate is 8% lower than Indiana
98,Phoenix,https://www.areavibes.com/phoenix-az/livability/,70,A+,C+,F,D,B+,F,B+," 1,555,324"," $178,200",Cost of living is 3% lower than Arizona,Total crime is 29% higher than Arizona,Household income is 4% lower than Arizona,Home value is 1% higher than Arizona,HS graduation rate is 6% lower than Arizona
99,Duluth,https://www.areavibes.com/duluth-mn/livability/,66,A+,C,D-,D+,D,C,F," 86,164"," $148,900",Cost of living is 6% lower than Minnesota,Total crime is 95% higher than Minnesota,Household income is 27% lower than Minnesota,Home value is 22% lower than Minnesota,HS graduation rate is equal to Minnesota
100,Castine,https://www.areavibes.com/castine-me/livability/,64,D+,F,A+,C-,D,A-,F, 899," $494,400",Cost of living is 34% higher than Maine,Total crime is 60% lower than Maine,Household income is 3% lower than Maine,Home value is 181% higher than Maine,HS graduation rate is 9% higher than Maine
101,Cambridge,https://www.areavibes.com/cambridge-ma/livability/,76,A+,F,B,B+,B-,A+,D+," 108,757"," $629,700",Cost of living is 34% higher than Massachusetts,Total crime is 17% higher than Massachusetts,Household income is 17% higher than Massachusetts,Home value is 85% higher than Massachusetts,HS graduation rate is 6% higher than Massachusetts
102,Williamsport,https://www.areavibes.com/williamsport-pa/livability/,69,A+,B,D+,F,F,C,D," 29,180"," $99,900",Cost of living is 12% lower than Pennsylvania,Total crime is 75% higher than Pennsylvania,Household income is 35% lower than Pennsylvania,Home value is 40% lower than Pennsylvania,HS graduation rate is 6% lower than Pennsylvania
103,Richmond,https://www.areavibes.com/richmond-in/livability/,71,A+,A+,F,F,D,C+,D+," 36,082"," $81,900",Cost of living is 16% lower than Indiana,Total crime is 41% higher than Indiana,Household income is 39% lower than Indiana,Home value is 35% lower than Indiana,HS graduation rate is 11% lower than Indiana
104,Santa Barbara,https://www.areavibes.com/santa+barbara-ca/livability/,67,A+,F,D+,C+,D+,D-,A-," 90,922"," $888,000",Cost of living is 40% higher than California,Total crime is 6% higher than California,Household income is 5% higher than California,Home value is 117% higher than California,HS graduation rate is 5% higher than California
105,Lake Forest,https://www.areavibes.com/lake+forest-il/livability/,69,A+,F,A+,A+,F,A-,F," 18,881"," $831,800",Cost of living is 91% higher than Illinois,Total crime is 59% lower than Illinois,Household income is 174% higher than Illinois,Home value is 376% higher than Illinois,HS graduation rate is 16% higher than Illinois
106,Blacksburg,https://www.areavibes.com/blacksburg-va/livability/,76,A+,D-,A+,D,F,A+,D+," 43,973"," $276,500",Cost of living is 3% higher than Virginia,Total crime is 60% lower than Virginia,Household income is 47% lower than Virginia,Home value is 11% higher than Virginia,HS graduation rate is 10% higher than Virginia
107,Troy,https://www.areavibes.com/troy-ny/livability/,58,A+,C,F,F,F,F,D-," 49,881"," $144,300",Cost of living is 18% lower than New York,Total crime is 124% higher than New York,Household income is 34% lower than New York,Home value is 50% lower than New York,HS graduation rate is 2% lower than New York
108,Albany,https://www.areavibes.com/albany-ny/livability/,57,A+,C-,F,D,F,F,D-," 98,425"," $172,700",Cost of living is 15% lower than New York,Total crime is 132% higher than New York,Household income is 30% lower than New York,Home value is 40% lower than New York,HS graduation rate is 5% higher than New York
109,Westerville,https://www.areavibes.com/westerville-oh/livability/,89,A+,C,B+,B,A,A+,D," 38,089"," $207,900",Cost of living is 9% higher than Ohio,Total crime is 8% lower than Ohio,Household income is 68% higher than Ohio,Home value is 58% higher than Ohio,HS graduation rate is 12% higher than Ohio
110,Seward,https://www.areavibes.com/seward-ne/livability/,80,B+,B-,B,C,C,A+,D," 7,133"," $143,900",Cost of living is 3% higher than Nebraska,Total crime is 17% lower than Nebraska,Household income is 13% higher than Nebraska,Home value is 5% higher than Nebraska,HS graduation rate is 2% higher than Nebraska
111,Poughkeepsie,https://www.areavibes.com/poughkeepsie-ny/livability/,52,A+,F,F,F,F,F,D," 30,511"," $193,100",Cost of living is 5% lower than New York,Total crime is 45% higher than New York,Household income is 36% lower than New York,Home value is 33% lower than New York,HS graduation rate is 10% lower than New York
112,Meadville,https://www.areavibes.com/meadville-pa/livability/,69,A+,B-,A,D-,F,F,F," 13,134"," $98,300",Cost of living is 8% lower than Pennsylvania,Total crime is 3% lower than Pennsylvania,Household income is 37% lower than Pennsylvania,Home value is 41% lower than Pennsylvania,HS graduation rate is 1% lower than Pennsylvania
113,Charlotte,https://www.areavibes.com/charlotte-nc/livability/,72,A+,C-,F,D+,A-,D,B-," 808,834"," $178,000",Cost of living is 5% higher than North Carolina,Total crime is 54% higher than North Carolina,Household income is 15% higher than North Carolina,Home value is 13% higher than North Carolina,HS graduation rate is 5% higher than North Carolina
114,New London,https://www.areavibes.com/new+london-ct/livability/,56,A+,D,D-,F,F,F,D+," 27,218"," $183,900",Cost of living is 11% lower than Connecticut,Total crime is 63% higher than Connecticut,Household income is 51% lower than Connecticut,Home value is 32% lower than Connecticut,HS graduation rate is 10% lower than Connecticut
115,Marion,https://www.areavibes.com/marion-in/livability/,69,A+,A-,D,F,F,B-,D+," 28,698"," $64,400",Cost of living is 7% lower than Indiana,Total crime is 44% higher than Indiana,Household income is 37% lower than Indiana,Home value is 49% lower than Indiana,HS graduation rate is 11% lower than Indiana
116,Decatur,https://www.areavibes.com/decatur-ga/livability/,74,A+,F,B+,B,C,F,C+," 21,210"," $384,300",Cost of living is 31% higher than Georgia,Total crime is 24% lower than Georgia,Household income is 60% higher than Georgia,Home value is 152% higher than Georgia,HS graduation rate is 16% higher than Georgia
117,Atlanta,https://www.areavibes.com/atlanta-ga/livability/,63,A+,D+,F,D,C+,F,B-," 456,378"," $222,300",Cost of living is 12% higher than Georgia,Total crime is 78% higher than Georgia,Household income is 3% lower than Georgia,Home value is 46% higher than Georgia,HS graduation rate is 7% higher than Georgia
118,Syracuse,https://www.areavibes.com/syracuse-ny/livability/,56,A+,B+,F,F,F,F,D-," 144,350"," $89,900",Cost of living is 27% lower than New York,Total crime is 118% higher than New York,Household income is 46% lower than New York,Home value is 69% lower than New York,HS graduation rate is 8% lower than New York
119,Bellingham,https://www.areavibes.com/bellingham-wa/livability/,68,A+,F,D-,D,D,B,C-," 84,462"," $306,300",Cost of living is 4% higher than Washington,Total crime is 43% higher than Washington,Household income is 29% lower than Washington,Home value is 14% higher than Washington,HS graduation rate is 2% higher than Washington
120,Claremont,https://www.areavibes.com/claremont-ca/livability/,74,A+,F,B-,B,D+,C+,A," 35,827"," $581,100",Cost of living is 14% higher than California,Total crime is 5% lower than California,Household income is 47% higher than California,Home value is 42% higher than California,HS graduation rate is 16% higher than California
121,Golden,https://www.areavibes.com/golden-co/livability/,71,A+,F,B,C+,D+,D,D+," 20,268"," $423,600",Cost of living is 16% higher than Colorado,Total crime is 3% lower than Colorado,Household income is 6% lower than Colorado,Home value is 60% higher than Colorado,HS graduation rate is 4% higher than Colorado
122,Rock Island,https://www.areavibes.com/rock+island-il/livability/,63,A+,B,C-,D-,F,F,D," 38,647"," $98,200",Cost of living is 10% lower than Illinois,Total crime is 28% higher than Illinois,Household income is 27% lower than Illinois,Home value is 44% lower than Illinois,HS graduation rate is 3% lower than Illinois
123,Clinton,https://www.areavibes.com/clinton-sc/livability/,61,B-,B+,F,F,D-,D-,B," 8,409"," $85,900",Cost of living is 9% lower than South Carolina,Total crime is 30% higher than South Carolina,Household income is 36% lower than South Carolina,Home value is 40% lower than South Carolina,HS graduation rate is 12% lower than South Carolina
124,Milwaukee,https://www.areavibes.com/milwaukee-wi/livability/,58,A+,B,F,F,C-,F,D-," 598,672"," $115,500",Cost of living is 7% lower than Wisconsin,Total crime is 153% higher than Wisconsin,Household income is 33% lower than Wisconsin,Home value is 31% lower than Wisconsin,HS graduation rate is 11% lower than Wisconsin
125,Sherman,https://www.areavibes.com/sherman-tx/livability/,79,B+,A-,D+,D-,B-,A,B-," 40,112"," $102,100",Cost of living is 9% lower than Texas,Total crime is 16% higher than Texas,Household income is 20% lower than Texas,Home value is 28% lower than Texas,HS graduation rate is equal to Texas
126,Kirksville,https://www.areavibes.com/kirksville-mo/livability/,73,A+,A,C,F,F,B+,D," 17,592"," $105,700",Cost of living is 10% lower than Missouri,Total crime is 5% higher than Missouri,Household income is 45% lower than Missouri,Home value is 25% lower than Missouri,HS graduation rate is 4% higher than Missouri
127,Baltimore,https://www.areavibes.com/baltimore-md/livability/,60,A+,C-,F,D-,C,F,C," 621,000"," $153,000",Cost of living is 17% lower than Maryland,Total crime is 155% higher than Maryland,Household income is 42% lower than Maryland,Home value is 47% lower than Maryland,HS graduation rate is 9% lower than Maryland
128,Greencastle,https://www.areavibes.com/greencastle-in/livability/,73,A,B,D-,D+,C-,A-,D," 10,413"," $99,200",Cost of living is 1% lower than Indiana,Total crime is 17% higher than Indiana,Household income is 10% lower than Indiana,Home value is 22% lower than Indiana,HS graduation rate is 4% lower than Indiana
129,Cedar Falls,https://www.areavibes.com/cedar+falls-ia/livability/,81,A+,C+,B+,C,D,A+,F," 40,828"," $171,400",Cost of living is 7% higher than Iowa,Total crime is 10% lower than Iowa,Household income is 7% higher than Iowa,Home value is 29% higher than Iowa,HS graduation rate is 6% higher than Iowa
130,Daytona Beach,https://www.areavibes.com/daytona+beach-fl/livability/,69,A+,B+,F,F,D,D,A," 64,105"," $117,200",Cost of living is 11% lower than Florida,Total crime is 131% higher than Florida,Household income is 39% lower than Florida,Home value is 30% lower than Florida,HS graduation rate is equal to Florida
131,Camden,https://www.areavibes.com/camden-nj/livability/,56,A+,C+,D,F,F,F,C-," 76,005"," $82,800",Cost of living is 23% lower than New Jersey,Total crime is 84% higher than New Jersey,Household income is 64% lower than New Jersey,Home value is 74% lower than New Jersey,HS graduation rate is 27% lower than New Jersey
132,Rocklin,https://www.areavibes.com/rocklin-ca/livability/,79,A+,F,A,C+,C-,A,B+," 60,509"," $381,000",Cost of living is 4% lower than California,Total crime is 36% lower than California,Household income is 32% higher than California,Home value is 7% lower than California,HS graduation rate is 18% higher than California
133,Boone,https://www.areavibes.com/boone-nc/livability/,67,A+,D,A-,F,F,B+,D," 18,241"," $257,000",Cost of living is 12% higher than North Carolina,Total crime is 27% lower than North Carolina,Household income is 69% lower than North Carolina,Home value is 64% higher than North Carolina,HS graduation rate is 6% higher than North Carolina
134,Pasadena,https://www.areavibes.com/pasadena-ca/livability/,68,A+,F,C-,C+,C,F,A," 140,268"," $649,800",Cost of living is 20% higher than California,Total crime is 16% lower than California,Household income is 14% higher than California,Home value is 59% higher than California,HS graduation rate is 9% higher than California
135,Waco,https://www.areavibes.com/waco-tx/livability/,74,A+,A-,F,D-,F,B-,B," 130,659"," $98,800",Cost of living is 7% lower than Texas,Total crime is 37% higher than Texas,Household income is 38% lower than Texas,Home value is 31% lower than Texas,HS graduation rate is 5% lower than Texas
136,Oberlin,https://www.areavibes.com/oberlin-oh/livability/,77,B,B+,A-,D,D-,A+,D," 8,353"," $145,000",Cost of living is 3% lower than Ohio,Total crime is 19% lower than Ohio,Household income is 1% higher than Ohio,Home value is 10% higher than Ohio,HS graduation rate is 7% higher than Ohio
137,Birmingham,https://www.areavibes.com/birmingham-al/livability/,61,A+,A,F,F,F,F,B-," 212,424"," $87,100",Cost of living is 8% lower than Alabama,Total crime is 67% higher than Alabama,Household income is 28% lower than Alabama,Home value is 32% lower than Alabama,HS graduation rate is 3% higher than Alabama
138,Durham,https://www.areavibes.com/durham-nh/livability/,71,A,F,A+,D,F,A+,F," 10,666"," $322,400",Cost of living is 7% higher than New Hampshire,Total crime is 65% lower than New Hampshire,Household income is 29% lower than New Hampshire,Home value is 35% higher than New Hampshire,HS graduation rate is 11% higher than New Hampshire
139,Oxford,https://www.areavibes.com/oxford-oh/livability/,78,A+,B+,A-,D-,F,A+,D+," 21,941"," $185,900",Cost of living is 3% lower than Ohio,Total crime is 17% lower than Ohio,Household income is 42% lower than Ohio,Home value is 41% higher than Ohio,HS graduation rate is 4% higher than Ohio
140,Elon,https://www.areavibes.com/elon-nc/livability/,73,A+,D+,A+,D+,F,D+,C+," 9,781"," $236,500",Cost of living is 10% higher than North Carolina,Total crime is 81% lower than North Carolina,Household income is 5% lower than North Carolina,Home value is 51% higher than North Carolina,HS graduation rate is 12% higher than North Carolina
141,Socorro,https://www.areavibes.com/socorro-nm/livability/,58,B+,A-,F,D-,D+,F,C+," 8,760"," $114,700",Cost of living is 8% lower than New Mexico,Total crime is 26% higher than New Mexico,Household income is 27% lower than New Mexico,Home value is 29% lower than New Mexico,HS graduation rate is 14% lower than New Mexico
142,Riverside,https://www.areavibes.com/riverside-ca/livability/,63,A+,F,F,D-,D+,F,A+," 318,678"," $286,600",Cost of living is 12% lower than California,Total crime is 21% higher than California,Household income is 8% lower than California,Home value is 30% lower than California,HS graduation rate is 4% lower than California
143,Storrs,https://www.areavibes.com/storrs-ct/livability/,62,B-,F,C,F,F,A,D-," 16,059"," $237,600",Cost of living is 4% lower than Connecticut,Total crime is 48% higher than Connecticut,Household income is 52% lower than Connecticut,Home value is 12% lower than Connecticut,HS graduation rate is 5% higher than Connecticut
144,Dallas,https://www.areavibes.com/dallas-tx/livability/,75,A+,C+,F,D+,B-,B,B," 1,278,433"," $142,600",Cost of living is 5% higher than Texas,Total crime is 32% higher than Texas,Household income is 17% lower than Texas,Home value is equal to Texas,HS graduation rate is 7% lower than Texas
145,Swarthmore,https://www.areavibes.com/swarthmore-pa/livability/,79,A+,F,A+,B+,F,A+,C-," 6,218"," $377,900",Cost of living is 32% higher than Pennsylvania,Total crime is 54% lower than Pennsylvania,Household income is 68% higher than Pennsylvania,Home value is 125% higher than Pennsylvania,HS graduation rate is 13% higher than Pennsylvania
146,College Station,https://www.areavibes.com/college+station-tx/livability/,83,A+,C,B+,D,D-,A+,B+," 104,684"," $192,700",Cost of living is 9% higher than Texas,Total crime is 27% lower than Texas,Household income is 33% lower than Texas,Home value is 35% higher than Texas,HS graduation rate is 18% higher than Texas
147,Omaha,https://www.areavibes.com/omaha-ne/livability/,75,A+,B,F,C-,C+,A+,D," 443,072"," $139,800",Cost of living is equal to Nebraska,Total crime is 75% higher than Nebraska,Household income is 7% lower than Nebraska,Home value is 2% higher than Nebraska,HS graduation rate is 4% lower than Nebraska
148,Schenectady,https://www.areavibes.com/schenectady-ny/livability/,58,A+,B-,F,F,F,F,D-," 65,554"," $112,900",Cost of living is 21% lower than New York,Total crime is 118% higher than New York,Household income is 32% lower than New York,Home value is 61% lower than New York,HS graduation rate is 6% lower than New York
149,Rock Hill,https://www.areavibes.com/rock+hill-sc/livability/,67,A+,B-,F,F,D+,D,C+," 70,251"," $136,000",Cost of living is 4% lower than South Carolina,Total crime is 27% higher than South Carolina,Household income is 12% lower than South Carolina,Home value is 5% lower than South Carolina,HS graduation rate is 2% higher than South Carolina
150,Tempe,https://www.areavibes.com/tempe-az/livability/,73,A+,C-,F,D+,B,F,B+," 174,708"," $219,900",Cost of living is 2% higher than Arizona,Total crime is 34% higher than Arizona,Household income is 2% lower than Arizona,Home value is 24% higher than Arizona,HS graduation rate is 8% higher than Arizona
151,Detroit,https://www.areavibes.com/detroit-mi/livability/,57,A+,A-,F,F,C-,F,D," 683,443"," $41,000",Cost of living is 8% lower than Michigan,Total crime is 193% higher than Michigan,Household income is 48% lower than Michigan,Home value is 68% lower than Michigan,HS graduation rate is 16% lower than Michigan
152,Searcy,https://www.areavibes.com/searcy-ar/livability/,64,A-,A,F,D+,F,F,C," 23,969"," $140,300",Cost of living is 4% lower than Arkansas,Total crime is 4% lower than Arkansas,Household income is 7% lower than Arkansas,Home value is 22% higher than Arkansas,HS graduation rate is 9% higher than Arkansas
153,Orange,https://www.areavibes.com/orange-ca/livability/,69,A+,F,A-,C,D,F,A+," 139,919"," $565,800",Cost of living is 14% higher than California,Total crime is 33% lower than California,Household income is 24% higher than California,Home value is 38% higher than California,HS graduation rate is 3% higher than California
154,Salem,https://www.areavibes.com/salem-or/livability/,72,A+,D,F,D-,B,D+,C," 161,975"," $188,900",Cost of living is 7% lower than Oregon,Total crime is 41% higher than Oregon,Household income is 8% lower than Oregon,Home value is 24% lower than Oregon,HS graduation rate is 6% lower than Oregon
155,Crawfordsville,https://www.areavibes.com/crawfordsville-in/livability/,71,A+,B+,D-,D-,F,B+,D," 15,996"," $87,600",Cost of living is 5% lower than Indiana,Total crime is 8% higher than Indiana,Household income is 26% lower than Indiana,Home value is 31% lower than Indiana,HS graduation rate is 7% lower than Indiana
156,Decorah,https://www.areavibes.com/decorah-ia/livability/,85,A+,B-,A+,C-,B-,A+,F," 7,985"," $160,500",Cost of living is 3% higher than Iowa,Total crime is 54% lower than Iowa,Household income is 3% lower than Iowa,Home value is 21% higher than Iowa,HS graduation rate is 6% higher than Iowa
157,Sewanee,https://www.areavibes.com/sewanee-tn/livability/,76,D-,D-,A+,C+,C,A+,C+," 2,503"," $281,800",Cost of living is 19% higher than Tennessee,Total crime is 74% lower than Tennessee,Household income is 96% higher than Tennessee,Home value is 93% higher than Tennessee,HS graduation rate is 22% higher than Tennessee
158,Salem,https://www.areavibes.com/salem-va/livability/,82,A+,B,A-,C-,F,A+,C," 25,290"," $173,800",Cost of living is 15% lower than Virginia,Total crime is 12% higher than Virginia,Household income is 21% lower than Virginia,Home value is 30% lower than Virginia,HS graduation rate is 1% lower than Virginia
159,Winston,https://www.areavibes.com/winston-salem-nc/livability/,65,A+,C+,F,D-,D-,F,C+," 238,474"," $142,400",,,,,
160,Notre Dame,https://www.areavibes.com/notre+dame-in/livability/,75,A+,B,A+,F,F,B+,D," 6,724", $0,Cost of living is 3% lower than Indiana,Total crime is equal to Indiana,Household income is 72% lower than Indiana,Home value is 100% lower than Indiana,HS graduation rate is 8% higher than Indiana
161,Lexington,https://www.areavibes.com/lexington-va/livability/,72,A+,C-,A+,D,F,A+,D-," 7,036"," $230,500",Cost of living is 5% lower than Virginia,Total crime is 65% lower than Virginia,Household income is 48% lower than Virginia,Home value is 7% lower than Virginia,HS graduation rate is 2% lower than Virginia
162,Arlington,https://www.areavibes.com/arlington-tx/livability/,80,A+,C+,F,D+,A,A-,C+," 383,899"," $137,900",Cost of living is 6% higher than Texas,Total crime is 24% higher than Texas,Household income is 2% lower than Texas,Home value is 3% lower than Texas,HS graduation rate is 3% higher than Texas
163,Jacksonville,https://www.areavibes.com/jacksonville-il/livability/,67,A+,B,D-,D-,C+,F,D+," 19,042"," $95,800",Cost of living is 12% lower than Illinois,Total crime is 63% higher than Illinois,Household income is 30% lower than Illinois,Home value is 45% lower than Illinois,HS graduation rate is 3% lower than Illinois
164,Fairfax,https://www.areavibes.com/fairfax-va/livability/,76,A+,F,A+,B+,F,A+,C-," 23,620"," $487,700",Cost of living is 38% higher than Virginia,Total crime is 58% lower than Virginia,Household income is 57% higher than Virginia,Home value is 96% higher than Virginia,HS graduation rate is 6% higher than Virginia
165,Houston,https://www.areavibes.com/houston-tx/livability/,79,A+,B,F,D+,A-,B+,A-," 2,240,582"," $140,300",Cost of living is 1% higher than Texas,Total crime is 74% higher than Texas,Household income is 14% lower than Texas,Home value is 2% lower than Texas,HS graduation rate is 5% lower than Texas
166,Greenville,https://www.areavibes.com/greenville-nc/livability/,60,A+,C+,F,F,F,F,C," 89,745"," $148,200",Cost of living is equal to North Carolina,Total crime is 47% higher than North Carolina,Household income is 27% lower than North Carolina,Home value is 6% lower than North Carolina,HS graduation rate is 8% higher than North Carolina
167,Holland,https://www.areavibes.com/holland-mi/livability/,78,A+,B,C,D+,A+,C-,D-," 33,581"," $121,900",Cost of living is 1% higher than Michigan,Total crime is 19% higher than Michigan,Household income is 1% lower than Michigan,Home value is 5% lower than Michigan,HS graduation rate is 5% lower than Michigan
168,Cincinnati,https://www.areavibes.com/cincinnati-oh/livability/,68,A+,B,F,F,C-,B-,C-," 298,011"," $120,300",Cost of living is 2% lower than Ohio,Total crime is 121% higher than Ohio,Household income is 32% lower than Ohio,Home value is 9% lower than Ohio,HS graduation rate is 4% lower than Ohio
169,Middletown,https://www.areavibes.com/middletown-ct/livability/,75,A+,F,A,C,C+,D-,D," 46,933"," $228,500",Cost of living is 6% lower than Connecticut,Total crime is 16% lower than Connecticut,Household income is 11% lower than Connecticut,Home value is 15% lower than Connecticut,HS graduation rate is 2% higher than Connecticut
170,Roanoke,https://www.areavibes.com/roanoke-va/livability/,74,A+,B+,F,D,F,A+,C," 99,329"," $133,000",Cost of living is 20% lower than Virginia,Total crime is 145% higher than Virginia,Household income is 41% lower than Virginia,Home value is 46% lower than Virginia,HS graduation rate is 6% lower than Virginia
171,St. Louis,https://www.areavibes.com/st.+louis-mo/livability/,58,A+,B,F,F,F,F,C-," 316,030"," $120,900",Cost of living is 1% lower than Missouri,Total crime is 141% higher than Missouri,Household income is 26% lower than Missouri,Home value is 14% lower than Missouri,HS graduation rate is 5% lower than Missouri
172,West Lafayette,https://www.areavibes.com/west+lafayette-in/livability/,79,A+,C-,A+,D-,F,A+,D," 44,543"," $192,100",Cost of living is 11% higher than Indiana,Total crime is 61% lower than Indiana,Household income is 43% lower than Indiana,Home value is 52% higher than Indiana,HS graduation rate is 12% higher than Indiana
173,Providence,https://www.areavibes.com/providence-ri/livability/,58,A+,F,F,F,D+,F,D+," 178,851"," $173,800",Cost of living is 6% lower than Rhode Island,Total crime is 93% higher than Rhode Island,Household income is 36% lower than Rhode Island,Home value is 27% lower than Rhode Island,HS graduation rate is 13% lower than Rhode Island
174,Morris,https://www.areavibes.com/morris-mn/livability/,72,B-,C,A+,C-,F,A,F," 5,343"," $151,300",Cost of living is 6% lower than Minnesota,Total crime is 56% lower than Minnesota,Household income is 30% lower than Minnesota,Home value is 21% lower than Minnesota,HS graduation rate is 3% lower than Minnesota
175,Peoria,https://www.areavibes.com/peoria-il/livability/,57,A+,C+,F,D-,F,F,D," 115,990"," $127,200",Cost of living is 6% lower than Illinois,Total crime is 103% higher than Illinois,Household income is 21% lower than Illinois,Home value is 27% lower than Illinois,HS graduation rate is equal to Illinois
176,Brunswick,https://www.areavibes.com/brunswick-me/livability/,73,A+,D,A,C,D,C-,F," 15,564"," $198,400",Cost of living is 2% higher than Maine,Total crime is 2% higher than Maine,Household income is 2% higher than Maine,Home value is 13% higher than Maine,HS graduation rate is 2% higher than Maine
177,Williamsburg,https://www.areavibes.com/williamsburg-va/livability/,75,A+,F,A,D+,F,A+,C," 14,988"," $319,500",Cost of living is 8% higher than Virginia,Total crime is 34% lower than Virginia,Household income is 24% lower than Virginia,Home value is 29% higher than Virginia,HS graduation rate is 9% higher than Virginia
178,Worcester,https://www.areavibes.com/worcester-ma/livability/,60,A+,F,F,D,D+,D,D-," 183,677"," $206,500",Cost of living is 10% lower than Massachusetts,Total crime is 62% higher than Massachusetts,Household income is 36% lower than Massachusetts,Home value is 39% lower than Massachusetts,HS graduation rate is 7% lower than Massachusetts
179,Cleveland,https://www.areavibes.com/cleveland-oh/livability/,61,A+,B+,F,F,C-,D-,D," 389,165"," $67,500",Cost of living is 3% lower than Ohio,Total crime is 138% higher than Ohio,Household income is 48% lower than Ohio,Home value is 49% lower than Ohio,HS graduation rate is 16% lower than Ohio
180,Chestertown,https://www.areavibes.com/chestertown-md/livability/,61,A+,D,B,D+,F,F,C," 5,122"," $213,100",Cost of living is 12% lower than Maryland,Total crime is 31% lower than Maryland,Household income is 49% lower than Maryland,Home value is 27% lower than Maryland,HS graduation rate is 5% lower than Maryland
181,Auburn,https://www.areavibes.com/auburn-al/livability/,73,A+,D+,C,D+,F,A-,C," 60,318"," $226,600",Cost of living is 15% higher than Alabama,Total crime is 15% lower than Alabama,Household income is 13% lower than Alabama,Home value is 76% higher than Alabama,HS graduation rate is 15% higher than Alabama
182,Glendale,https://www.areavibes.com/glendale-az/livability/,71,A+,B-,F,D,B,F,B," 239,943"," $163,400",Cost of living is 5% lower than Arizona,Total crime is 47% higher than Arizona,Household income is 9% lower than Arizona,Home value is 8% lower than Arizona,HS graduation rate is 4% lower than Arizona
183,Walla Walla,https://www.areavibes.com/walla+walla-wa/livability/,67,A+,B-,F,D,D-,F,C," 31,952"," $173,200",Cost of living is 18% lower than Washington,Total crime is 14% higher than Washington,Household income is 33% lower than Washington,Home value is 36% lower than Washington,HS graduation rate is 8% lower than Washington
184,Grand Forks,https://www.areavibes.com/grand+forks-nd/livability/,69,A+,C+,C-,C-,C-,D+,F," 55,831"," $172,700",Cost of living is equal to North Dakota,Total crime is 32% higher than North Dakota,Household income is 19% lower than North Dakota,Home value is 5% higher than North Dakota,HS graduation rate is 2% higher than North Dakota
185,San Luis Obispo,https://www.areavibes.com/san+luis+obispo-ca/livability/,66,A+,F,D-,C-,F,B-,B+," 46,716"," $567,600",Cost of living is 12% higher than California,Total crime is 39% higher than California,Household income is 25% lower than California,Home value is 39% higher than California,HS graduation rate is 14% higher than California
186,Evansville,https://www.areavibes.com/evansville-in/livability/,69,A+,A-,F,D-,F,B-,C-," 120,156"," $89,600",Cost of living is 7% lower than Indiana,Total crime is 102% higher than Indiana,Household income is 28% lower than Indiana,Home value is 29% lower than Indiana,HS graduation rate is 2% lower than Indiana
187,Berrien Springs,https://www.areavibes.com/berrien+springs-mi/livability/,76,B-,B+,A+,D-,A-,C-,D," 1,370"," $107,600",Cost of living is 4% lower than Michigan,Total crime is 59% lower than Michigan,Household income is 25% lower than Michigan,Home value is 16% lower than Michigan,HS graduation rate is 4% higher than Michigan
188,Manchester,https://www.areavibes.com/manchester-nh/livability/,63,A+,F,F,C-,C+,F,D-," 110,231"," $207,200",Cost of living is 3% lower than New Hampshire,Total crime is 109% higher than New Hampshire,Household income is 20% lower than New Hampshire,Home value is 14% lower than New Hampshire,HS graduation rate is 7% lower than New Hampshire
189,Lewiston,https://www.areavibes.com/lewiston-me/livability/,62,A+,C-,B-,D,F,F,F," 36,277"," $143,500",Cost of living is 5% lower than Maine,Total crime is 51% higher than Maine,Household income is 25% lower than Maine,Home value is 18% lower than Maine,HS graduation rate is 10% lower than Maine
190,San Diego,https://www.areavibes.com/san+diego-ca/livability/,72,A+,F,C+,C,C-,D+,A+," 1,374,812"," $488,600",Cost of living is 6% higher than California,Total crime is 25% lower than California,Household income is 7% higher than California,Home value is 19% higher than California,HS graduation rate is 7% higher than California
191,Madison,https://www.areavibes.com/madison-nj/livability/,76,A+,F,A+,A,F,A,D+," 16,090"," $681,900",Cost of living is 36% higher than New Jersey,Total crime is 76% lower than New Jersey,Household income is 64% higher than New Jersey,Home value is 116% higher than New Jersey,HS graduation rate is 10% higher than New Jersey
192,Mississippi State,https://www.areavibes.com/mississippi+state-ms/livability/,85,A+,B+,A+,F,C-,A+,C+," 4,124", $0,Cost of living is 3% higher than Mississippi,Total crime is equal to Mississippi,Household income is 100% lower than Mississippi,Home value is 100% lower than Mississippi,HS graduation rate is 30% higher than Mississippi
193,De Pere,https://www.areavibes.com/de+pere-wi/livability/,84,A+,C+,A,C,B,A+,F," 24,544"," $167,400",Cost of living is 2% lower than Wisconsin,Total crime is 53% lower than Wisconsin,Household income is 18% higher than Wisconsin,Home value is equal to Wisconsin,HS graduation rate is 8% higher than Wisconsin
194,La Verne,https://www.areavibes.com/la+verne-ca/livability/,73,A+,F,B-,C+,D+,C+,A," 32,078"," $500,300",Cost of living is 7% higher than California,Total crime is 11% lower than California,Household income is 23% higher than California,Home value is 22% higher than California,HS graduation rate is 12% higher than California
